INFO:root:Profile data:
         239097 function calls (239078 primitive calls) in 0.738 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\gettext.py:130(_expand_lang)
       35    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:136(__getitem__)
       34    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1245(register)
  141/136    0.000    0.000    0.000    0.000 {len}
        6    0.000    0.000    0.002    0.000 C:\Python26\ArcGIS10.0\lib\re.py:229(_compile)
        4    0.000    0.000    0.000    0.000 {built-in method now}
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:788(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1559(__init__)
       41    0.000    0.000    0.000    0.000 {hasattr}
        2    0.000    0.000    0.001    0.001 C:\Python26\ArcGIS10.0\lib\sre_compile.py:367(_compile_info)
        1    0.000    0.000    0.000    0.000 {sorted}
       30    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:120(_callable)
       30    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1249(_registry_get)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2244(_get_value)
        2    0.000    0.000    0.000    0.000 {_csv.writer}
        1    0.000    0.000    0.000    0.000 gpcp_to_csv.py:164(check_args)
        2    0.000    0.000    0.002    0.001 C:\Python26\ArcGIS10.0\lib\sre_compile.py:501(compile)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\gettext.py:421(find)
       50    0.000    0.000    0.000    0.000 {isinstance}
        2    0.000    0.000    0.013    0.007 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\gpcp_parsers.py:177(__init__)
       68    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:830(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1511(_add_action)
      110    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1795(take_action)
       19    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:207(get)
        2    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:669(parse)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1439(_pop_action_class)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\gettext.py:527(dgettext)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\locale.py:316(normalize)
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2195(_get_values)
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1816(consume_optional)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_compile.py:184(_compile_charset)
        3    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:2015(_match_argument)
       15    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:144(append)
       22    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1490(__init__)
       12    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\os.py:444(get)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1452(_check_conflict)
       10    0.000    0.000    0.000    0.000 C:\Users\schiefej\WorkLinks\Coding Projects\Eclipse\GPCP\src\argparse.py:1686(_add_action)
